iter	Logloss
0	0.68125469
1	0.6708290693
2	0.6623751174
3	0.6551823616
4	0.6491964806
5	0.6444851494
6	0.6400043339
7	0.6365362549
8	0.6336045096
9	0.6308874893
10	0.6282226902
11	0.6260492791
12	0.6241341866
13	0.6223266496
14	0.6209163539
15	0.6192102157
16	0.6178210894
17	0.6164670881
18	0.6153116099
19	0.6141895654
20	0.6130021816
21	0.6120854611
22	0.6109991031
23	0.6101201502
24	0.6093918758
25	0.608530585
26	0.6078154818
27	0.6070599429
28	0.6063088862
29	0.6056432745
30	0.6049950282
31	0.6044579146
32	0.6038121393
33	0.603270092
34	0.6028358354
35	0.6022077921
36	0.601908741
37	0.6014383676
38	0.6009014723
39	0.6004340087
40	0.6000187598
41	0.5995400047
42	0.5991016557
43	0.5985936864
44	0.5981949488
45	0.5978839323
46	0.5975625716
47	0.5972063743
48	0.5968439017
49	0.596547841
50	0.5962493303
51	0.595972822
52	0.5957019382
53	0.595371916
54	0.5950548744
55	0.5946565204
56	0.594373436
57	0.5940655157
58	0.5937835587
59	0.5935174645
60	0.5932841386
61	0.5930215581
62	0.592753813
63	0.5924709702
64	0.5921961085
65	0.5920013894
66	0.5916972711
67	0.5914052243
68	0.5911776755
69	0.5910319371
70	0.5907917277
71	0.5905690278
72	0.5901628325
73	0.5899339485
74	0.5896654044
75	0.5894238536
76	0.5891823578
77	0.5890080897
78	0.5887921884
79	0.5884555244
80	0.5882272636
81	0.5880422062
82	0.5878238
83	0.5875982369
84	0.58743028
85	0.5872927305
86	0.5870296966
87	0.5868432638
88	0.5867008675
89	0.5865688409
90	0.5864114804
91	0.5861652417
92	0.5859284804
93	0.5857622676
94	0.585602648
95	0.5853950649
96	0.5851816644
97	0.5850278134
98	0.5849259885
99	0.5847129737
100	0.5845489184
101	0.5843791665
102	0.5841963005
103	0.5840257475
104	0.5838291995
105	0.5836203935
106	0.5833871036
107	0.5832117568
108	0.583049647
109	0.5828887473
110	0.5827059767
111	0.5825347053
112	0.5823846436
113	0.582202549
114	0.5820539856
115	0.581896623
116	0.581688491
117	0.5815319294
118	0.5813036643
119	0.5810761091
120	0.5808793428
121	0.5807275539
122	0.5805391396
123	0.5802777566
124	0.5801421992
125	0.5799676365
126	0.5798283937
127	0.5795785777
128	0.5793967628
129	0.5792588827
130	0.5790501637
131	0.5788834847
132	0.5786887105
133	0.5784794002
134	0.5783300442
135	0.5781233978
136	0.5779508675
137	0.5777772946
138	0.5775528632
139	0.5773980882
140	0.5771688037
141	0.5769683499
142	0.5768163363
143	0.5766460906
144	0.5765046544
145	0.5763657464
146	0.576145081
147	0.5759900305
148	0.5758502642
149	0.5756941732
150	0.5755316904
151	0.5753741561
152	0.5752485466
153	0.5750833342
154	0.5749204699
155	0.574744534
156	0.574581621
157	0.5744236459
158	0.5742337057
159	0.5740720177
160	0.5739195506
161	0.5736982409
162	0.5735617362
163	0.573420798
164	0.5732555008
165	0.5730549177
166	0.5728730583
167	0.5727177196
168	0.5725453292
169	0.5723596149
170	0.5721682103
171	0.5720183012
172	0.5718432257
173	0.5717326058
174	0.5716155179
175	0.5714359665
176	0.5712712754
177	0.5711679353
178	0.5710337808
179	0.5708377478
180	0.5707233556
181	0.5705738534
182	0.5703756587
183	0.5702328279
184	0.570078339
185	0.5699573517
186	0.5698476389
187	0.5697229682
188	0.5695848317
189	0.5694124921
190	0.5692996195
191	0.5691704898
192	0.5690290769
193	0.5688829952
194	0.5687326389
195	0.5685857434
196	0.5684768422
197	0.5683516969
198	0.5682323689
199	0.5680496618
