iter	Passed	Remaining
0	12	2476
1	22	2238
2	32	2116
3	39	1959
4	46	1815
5	52	1708
6	57	1596
7	62	1507
8	67	1435
9	72	1386
10	78	1342
11	83	1301
12	87	1259
13	92	1225
14	96	1192
15	100	1159
16	105	1132
17	109	1111
18	114	1091
19	118	1070
20	123	1048
21	127	1032
22	132	1017
23	136	1002
24	140	984
25	144	969
26	149	959
27	154	946
28	157	931
29	163	923
30	167	911
31	172	903
32	176	894
33	180	882
34	185	872
35	189	864
36	194	856
37	199	849
38	203	840
39	208	833
40	213	826
41	217	817
42	221	810
43	226	801
44	231	795
45	235	786
46	239	779
47	244	773
48	248	765
49	252	757
50	257	752
51	261	745
52	266	738
53	271	733
54	275	727
55	280	720
56	285	715
57	289	709
58	294	703
59	299	697
60	303	691
61	308	685
62	312	680
63	316	673
64	321	667
65	325	661
66	330	656
67	335	650
68	339	644
69	344	639
70	348	633
71	353	627
72	357	622
73	363	618
74	367	613
75	372	608
76	377	602
77	381	597
78	386	591
79	390	585
80	395	580
81	399	574
82	404	569
83	408	563
84	413	558
85	417	553
86	422	548
87	427	543
88	432	539
89	436	534
90	441	528
91	446	523
92	450	518
93	455	514
94	460	508
95	464	503
96	468	497
97	472	491
98	477	486
99	481	481
100	485	476
101	490	471
102	494	465
103	499	461
104	503	455
105	508	450
106	513	446
107	518	441
108	522	436
109	527	431
110	532	427
111	537	422
112	541	416
113	545	411
114	550	406
115	554	401
116	559	397
117	564	392
118	569	387
119	573	382
120	578	377
121	583	373
122	588	368
123	592	363
124	597	358
125	601	353
126	606	348
127	610	343
128	614	338
129	619	333
130	623	328
131	628	323
132	633	318
133	637	314
134	642	309
135	646	304
136	650	299
137	655	294
138	659	289
139	664	284
140	668	279
141	673	275
142	677	270
143	682	265
144	686	260
145	691	255
146	695	250
147	699	245
148	704	240
149	708	236
150	712	231
151	717	226
152	721	221
153	725	216
154	729	211
155	734	207
156	738	202
157	743	197
158	747	192
159	751	187
160	756	183
161	760	178
162	764	173
163	768	168
164	773	164
165	777	159
166	781	154
167	786	149
168	790	145
169	795	140
170	799	135
171	804	130
172	809	126
173	813	121
174	818	116
175	822	112
176	826	107
177	831	102
178	836	98
179	841	93
180	845	88
181	850	84
182	854	79
183	858	74
184	864	70
185	868	65
186	873	60
187	878	56
188	883	51
189	888	46
190	892	42
191	897	37
192	912	33
193	919	28
194	925	23
195	930	18
196	936	14
197	942	9
198	947	4
199	951	0
