,Feature,Coefficient,Importance
883,hla_low_res_6|tce_div_match_Permissive_mismatched,-268.10454129128317,268.10454129128317
882,hla_low_res_6|tce_div_match_Missing_value,-267.9873681132421,267.9873681132421
881,hla_low_res_6|tce_div_match_HvG_non_permissive,-267.65579165271674,267.65579165271674
880,hla_low_res_6|tce_div_match_GvH_non_permissive,-266.0600954204697,266.0600954204697
3,hla_low_res_6,252.97286748666747,252.97286748666747
3739,hla_low_res_8|tce_div_match_Permissive_mismatched,120.90584135281978,120.90584135281978
3738,hla_low_res_8|tce_div_match_Missing_value,120.53701955827385,120.53701955827385
3737,hla_low_res_8|tce_div_match_HvG_non_permissive,120.53040955645187,120.53040955645187
3736,hla_low_res_8|tce_div_match_GvH_non_permissive,120.04819206273082,120.04819206273082
20,hla_low_res_8,-117.40256446449565,117.40256446449565
3093,hla_match_a_low|tce_div_match_Permissive_mismatched,67.23941026859436,67.23941026859436
3092,hla_match_a_low|tce_div_match_Missing_value,67.22256542503956,67.22256542503956
3091,hla_match_a_low|tce_div_match_HvG_non_permissive,67.1757325818696,67.1757325818696
3090,hla_match_a_low|tce_div_match_GvH_non_permissive,66.79496022337862,66.79496022337862
2763,hla_match_b_low|tce_div_match_Missing_value,66.56805643005924,66.56805643005924
2764,hla_match_b_low|tce_div_match_Permissive_mismatched,66.49230644061282,66.49230644061282
2762,hla_match_b_low|tce_div_match_HvG_non_permissive,66.43218291480063,66.43218291480063
2761,hla_match_b_low|tce_div_match_GvH_non_permissive,65.95424941542834,65.95424941542834
1923,hla_match_drb1_low|tce_div_match_Missing_value,65.91487777282336,65.91487777282336
1924,hla_match_drb1_low|tce_div_match_Permissive_mismatched,65.85227231504663,65.85227231504663
1922,hla_match_drb1_low|tce_div_match_HvG_non_permissive,65.75696565058458,65.75696565058458
1921,hla_match_drb1_low|tce_div_match_GvH_non_permissive,65.42677370826291,65.42677370826291
14,hla_match_b_low,-65.12532905692234,65.12532905692234
16,hla_match_a_low,-63.40938290442622,63.40938290442622
9,hla_match_drb1_low,-62.72945393634927,62.72945393634927
170,donor_related_Multiple_donor__non_UCB_,-35.35835195231216,35.35835195231216
171,donor_related_Related,-34.8158382208028,34.8158382208028
1753,hla_match_c_low|tce_div_match_Permissive_mismatched,-34.11021431481532,34.11021431481532
1751,hla_match_c_low|tce_div_match_HvG_non_permissive,-34.090179438409756,34.090179438409756
1752,hla_match_c_low|tce_div_match_Missing_value,-34.02412282791442,34.02412282791442
1750,hla_match_c_low|tce_div_match_GvH_non_permissive,-33.7733658956035,33.7733658956035
172,donor_related_Unrelated,-32.05293964289134,32.05293964289134
8,hla_match_c_low,29.72234725601504,29.72234725601504
16110,rheum_issue_Yes|donor_related_Related,22.306697054859136,22.306697054859136
16111,rheum_issue_Yes|donor_related_Unrelated,22.23403929547441,22.23403929547441
153,rheum_issue_Yes,-22.019496163433345,22.019496163433345
16109,rheum_issue_Yes|donor_related_Multiple_donor__non_UCB_,21.543473469333343,21.543473469333343
6591,cyto_score_Normal|donor_related_Related,21.254863080612708,21.254863080612708
6592,cyto_score_Normal|donor_related_Unrelated,21.243446604823287,21.243446604823287
6590,cyto_score_Normal|donor_related_Multiple_donor__non_UCB_,21.20433916901439,21.20433916901439
12456,tce_imm_match_H_B|donor_related_Related,-20.931625495408376,20.931625495408376
