"","name","layout","cmc","power","toughness","release_year","color_identity","text","text_num"
"1","Rootwater Matriarch","normal",4,2,3,2007,"['U']","{T}: Gain control of target creature for as long as that creature is enchanted.",79
"2","Knight of Dusk","normal",3,2,2,2007,"['B']","{B}{B}: Destroy target creature blocking Knight of Dusk.",56
"3","Mass of Ghouls","normal",5,5,3,2007,"['B']","",0
"4","Duct Crawler","normal",1,1,1,2007,"['R']","{1}{R}: Target creature can't block Duct Crawler this turn.",59
"5","Prodigal Pyromancer","normal",3,1,1,2007,"['R']","{T}: Prodigal Pyromancer deals 1 damage to any target.",54
"6","Skyshroud Ranger","normal",1,1,1,2007,"['G']","{T}: You may put a land card from your hand onto the battlefield. Activate only as a sorcery.",93
"7","Stampeding Wildebeests","normal",4,5,4,2007,"['G']","Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
At the beginning of your upkeep, return a green creature you control to its owner's hand.",189
"8","Benalish Hero","normal",1,1,1,1993,"['W']","Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",326
"9","Mesa Pegasus","normal",2,1,1,1993,"['W']","Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",334
"10","Northern Paladin","normal",4,3,3,1993,"['W']","{W}{W}, {T}: Destroy target black permanent.",44
"11","Pearled Unicorn","normal",3,2,2,1993,"['W']","",0
"12","Personal Incarnation","normal",6,6,6,1993,"['W']","{0}: The next 1 damage that would be dealt to Personal Incarnation this turn is dealt to its owner instead. Only Personal Incarnation's owner may activate this ability.
When Personal Incarnation dies, its owner loses half their life, rounded up.",245
"13","Samite Healer","normal",2,1,1,1993,"['W']","{T}: Prevent the next 1 damage that would be dealt to any target this turn.",75
"14","Savannah Lions","normal",1,2,1,1993,"['W']","",0
"15","Serra Angel","normal",5,4,4,1993,"['W']","Flying, vigilance",17
"16","Veteran Bodyguard","normal",5,2,5,1993,"['W']","As long as Veteran Bodyguard is untapped, all damage that would be dealt to you by unblocked creatures is dealt to Veteran Bodyguard instead.",141
"17","Wall of Swords","normal",4,3,5,1993,"['W']","Defender (This creature can't attack.)
Flying",45
"18","White Knight","normal",2,2,2,1993,"['W']","First strike (This creature deals combat damage before creatures without first strike.)
Protection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)",199
"19","Air Elemental","normal",5,4,4,1993,"['U']","Flying",6
"20","Clone","normal",4,0,0,1993,"['U']","You may have Clone enter the battlefield as a copy of any creature on the battlefield.",86
"21","Lord of Atlantis","normal",2,2,2,1993,"['U']","Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)",116
"22","Mahamoti Djinn","normal",6,5,6,1993,"['U']","Flying (This creature can't be blocked except by creatures with flying or reach.)",81
"23","Merfolk of the Pearl Trident","normal",1,1,1,1993,"['U']","",0
"24","Phantasmal Forces","normal",4,4,1,1993,"['U']","Flying
At the beginning of your upkeep, sacrifice Phantasmal Forces unless you pay {U}.",87
"25","Phantom Monster","normal",4,3,3,1993,"['U']","Flying",6
"26","Pirate Ship","normal",5,4,3,1993,"['U']","Pirate Ship can't attack unless defending player controls an Island.
{T}: Pirate Ship deals 1 damage to any target.
When you control no Islands, sacrifice Pirate Ship.",167
"27","Prodigal Sorcerer","normal",3,1,1,1993,"['U']","{T}: Prodigal Sorcerer deals 1 damage to any target.",52
